1,270,275,269,,,,,
2,469,398,473,495,438,520,,
3,862,736,822,808,828,754,810,796
4,1204,1328,1231,,,,,
5,1519,1573,1584,1543,1611,,,
6,2537,2503,2642,2540,2598,,,
7,3065,3007,3081,,,,,
8,3496,3458,3518,3493,3503,3365,,
9,4043,4110,4123,4172,4190,4149,4241,
10,4773,4733,4761,4845,,,,
11,5937,5727,5929,6024,5928,5999,,
12,6283,6367,6562,,,,,
13,7080,7227,7248,7152,7183,7085,7173,
14,7607,7576,7645,7668,,,,
15,8155,8052,8247,8253,,,,
16,8682,8995,8908,8827,,,,
17,9095,9076,9155,9241,9200,,,
18,9993,9679,9873,9741,9837,9773,,